Pinaceae,Pinus sylvestris,Tall
Pinaceae,Pinus mugo,Bergtall
Pinaceae,Pinus cembra,Cembratall
Pinaceae,Pinus contorta,Contortatall
Pinaceae,Larix decidua,Lärk
Pinaceae,Picea abies,Gran
Taxaceae,Taxus baccata,Idegran
-,-,Övriga barrträd
Betulaceae,Betula-,Björkar (ej dvärg-)
Salicaceae,Populus tremula,Asp
Salicaceae,Populus pentandra,Jolster
Salicaceae,Populus-,Övriga popplar
Fagaceae,Quercus robur,Ekar
Fagaceae,Fagus sylvatica,Bok
Hippocastanaceae,Aesculus hippocastanum,Hästkastanj
Oleaceae,Fraxinus excelsior,Ask
Ulmaceae,Ulmus-,Almar (alla)
Tiliaceae,Tilia,Lindar
Aceraceae,Acer platanoides,Lönn
Aceraceae,Acer pseudoplatanus,Tysklönn
Corylaceae,Carpinus betulus,Avenbok
Rosaceae,Prunus avium,Sötkörsbär
Rosaceae,Prunus padus,Hägg
Rosaceae,Prunus domestica,Plommon
Rosaceae,Malus sylvestris,Aplar
Rosaceae,Pyrus communis,Päron
Betulaceae,Alnus glutinosa,Klibbal
Betulaceae,Alnus incana,Gråal
Saliceae,Salix caprea,Sälg, diam >20 mm
Saliceae,Salix-,Pilar, diam >20 mm
Rosaceae,Sorbus aucuparia,Rönn
Rosaceae,Sorbus-,Oxlar
-,-,Övriga lövträd
